antigen_conc_iu_m_l,antigen,mfi
400,pfldh,12212.776725338872
300,pfldh,10835.43316644898
120,pfldh,5886.63880894892
24,pfldh,1140.4682063841205
4.8,pfldh,193.07662357753807
0.96,pfldh,52.69115978983709
0.192,pfldh,22.859976572264447
0.0384,pfldh,19.105466715300956
0.001,pfldh,16.61667162449433
400,pvldh,15559.11619978735
200,pvldh,10485.926381116766
80,pvldh,6661.6087967746935
16,pvldh,863.079504933467
3.2,pvldh,310.447046305289
0.64,pvldh,68.57161041738021
0.128,pvldh,30.94922053972456
0.0256,pvldh,20.966894152991514
0.001,pvldh,19.830411307861116
400,hrp2,9902.032391271468
300,hrp2,10181.181175843474
120,hrp2,6128.563458745902
24,hrp2,919.6852821786354
4.8,hrp2,169.731042257069
0.96,hrp2,29.362251349133864
0.192,hrp2,13.0712267802096
0.0384,hrp2,9.942165008283874
0.001,hrp2,10.596120930019804
